"编号","开始答题时间","结束答题时间","答题时长","1.您的性别：","2.您的年龄：","3.您的身份：","4.您所处的年级：","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**短视频**：在您想要放松时，系统推荐的内容是否符合您的兴趣？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**网购**：当您想购买某类商品时，推荐系统是否准确地推荐了符合您需求的商品？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**新闻/资讯**：在想了解热点时，系统推荐的新闻是否符合您的关注点？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**音乐/影视**：当您想寻找某种风格的音乐或影视作品时，系统推荐是否符合您的偏好？","5.在以下情境中，您认为推荐系统的内容与您的需求匹配程度如何？:**学习/知识获取**：当您希望找到与学习或工作相关的内容时，推荐内容是否有帮助？","6.您觉得推荐系统是否能够捕捉到您的需求变化？","7.如果推荐系统无法捕捉需求变化，您认为主要原因是什么？（可多选）","8.您对推荐系统整体推荐质量的满意程度如何？","9.推荐系统在以下情境中的表现是否让您满意？:浏览短视频（如抖音、快手）","9.推荐系统在以下情境中的表现是否让您满意？:网购（如淘宝、京东）","9.推荐系统在以下情境中的表现是否让您满意？:获取新闻/资讯（如今日头条、微博）","9.推荐系统在以下情境中的表现是否让您满意？:搜索音乐或影视作品（如网易云音乐、B站）","9.推荐系统在以下情境中的表现是否让您满意？:学习或获取专业知识（如小红书、知乎）","10.您通常在哪些情境下使用推荐系统？（可多选）:浏览短视频（如抖音、快手）","10.您通常在哪些情境下使用推荐系统？（可多选）:网购（如淘宝、京东）","10.您通常在哪些情境下使用推荐系统？（可多选）:学习或获取专业知识（如小红书、知乎）","10.您通常在哪些情境下使用推荐系统？（可多选）:获取新闻/资讯（如今日头条、微博）","10.您通常在哪些情境下使用推荐系统？（可多选）:搜索音乐或影视作品（如网易云音乐、B站）","10.您通常在哪些情境下使用推荐系统？（可多选）:其他","11.请选择您在平台上的推荐系统使用频率：:**短视频**","11.请选择您在平台上的推荐系统使用频率：:**网购**","11.请选择您在平台上的推荐系统使用频率：:**新闻/资讯**","11.请选择您在平台上的推荐系统使用频率：:**音乐/影视**","11.请选择您在平台上的推荐系统使用频率：:**学习/知识获取**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**短视频**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**网购**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**新闻/资讯**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**音乐/影视**","12.请填写您在不同平台上的推荐系统每次使用的平均时长：:**学习/知识获取**","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"23","22-Dec-2024 14:05:29","22-Dec-2024 14:07:17","108","B.女","B.18-24岁","A.学生","B.大一","5","3","3","4","5","A. 能够很好地捕捉到","","D. 比较满意","5","5","4","5","4","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","","D.频繁","C.有时","C.有时","D.频繁","C.有时","B.30分钟-1小时","B.30分钟-1小时","A.少于30分钟","B.30分钟-1小时","C.1-2小时","简体中文","未清洗","","中国","北京市","北京市","","124.126.96.60","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.54(0x18003637) NetType/WIFI Language/zh_CN miniProgram/wxebadf544ddae62cb","",
"22","22-Dec-2024 14:00:10","22-Dec-2024 14:01:19","69","B.女","B.18-24岁","A.学生","B.大一","4","3","3","3","4","B. 一般","","D. 比较满意","4","4","4","4","4","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","D.频繁","D.频繁","C.有时","D.频繁","C.有时","C.1-2小时","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","B.30分钟-1小时","简体中文","未清洗","","中国","北京市","北京市","","2001:da8:8002:1bd1:880b:9c6c:9835:2abc","Mozilla/5.0 (Linux; Android 12; ALN-AL00 Build/HUAWEIALN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300199 MMWEBSDK/20241103 MMWEBID/2015 MicroMessenger/8.0.55.2780(0x28003734) WeChat/arm6","",
"21","21-Dec-2024 01:56:05","21-Dec-2024 01:57:09","64","B.女","C.25-34岁","A.学生","F.研究生及博士生","4","3","2","4","4","A. 能够很好地捕捉到","","B. 不太满意","1","3","2","4","4","","","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","","B.很少","C.有时","B.很少","E.非常频繁","C.有时","B.30分钟-1小时","A.少于30分钟","A.少于30分钟","D.超过2小时","C.1-2小时","简体中文","未清洗","","中国","","","","2408:8406:1930:3aa:39be:8145:4352:6109","Mozilla/5.0 (Linux; Android 12; NOH-AL00 Build/HUAWEINOH-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300149 MMWEBSDK/20231002 MMWEBID/3133 MicroMessenger/8.0.43.2480(0x28002B33) WeChat/arm6","",
"20","20-Dec-2024 14:50:29","20-Dec-2024 14:52:18","109","A.男","B.18-24岁","A.学生","B.大一","4","4","5","2","3","A. 能够很好地捕捉到","","D. 比较满意","4","4","3","2","5","A.浏览短视频（如抖音、快手）","","C.学习或获取专业知识（如小红书、知乎）","","","","E.非常频繁","D.频繁","B.很少","B.很少","E.非常频繁","C.1-2小时","A.少于30分钟","D.超过2小时","B.30分钟-1小时","D.超过2小时","简体中文","未清洗","","中国","广东省","湛江市","","2408:8459:6a30:c52:783c:beff:fe09:92ec","Mozilla/5.0 (Linux; Android 15; PHY110 Build/UKQ1.231108.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/132.0.6834.43 Mobile Safari/537.36 V1_AND_SQ_9.1.25_8368_YYB_D QQ/9.1.25.21820 NetType/4G WebP/0.4.1 AppId/537260036 Pixel/1080 Sta","",
"19","20-Dec-2024 14:28:43","20-Dec-2024 14:29:52","69","A.男","B.18-24岁","A.学生","B.大一","3","3","3","3","3","C. 无法捕捉到","C. 缺乏对情境的动态调整能力","C. 一般","3","3","3","3","3","","","","","","F.其他","A.从不","A.从不","C.有时","B.很少","A.从不","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","简体中文","未清洗","","中国","湖北省","武汉市","","2409:894d:d00:dd8b:ac55:6bff:fe99:8524","Mozilla/5.0 (Linux; Android 14; 23116PN5BC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.1.10_7858_YYB_D QQ/9.1.10.20545 NetType/4G WebP/0.3.0 ","",
"18","18-Dec-2024 22:46:29","18-Dec-2024 22:46:53","24","A.男","B.18-24岁","A.学生","B.大一","5","4","4","4","4","A. 能够很好地捕捉到","","A. 非常不满意","4","4","4","4","4","A.浏览短视频（如抖音、快手）","","","","","","B.很少","B.很少","B.很少","B.很少","B.很少","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","简体中文","未清洗","","中国","","","","240e:465:2533:1349:56:4dff:fe39:68d7","Mozilla/5.0 (Linux; Android 14; PJE110 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.1.23_8230_HDBM_T QQ/9.1.23.21460 NetType/4G WebP/0.3.0 App","",
"17","18-Dec-2024 21:48:45","18-Dec-2024 21:50:06","81","A.男","B.18-24岁","A.学生","B.大一","5","5","4","3","3","A. 能够很好地捕捉到","","D. 比较满意","5","5","4","3","3","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","C.有时","C.有时","C.有时","B.30分钟-1小时","B.30分钟-1小时","B.30分钟-1小时","B.30分钟-1小时","B.30分钟-1小时","简体中文","未清洗","","中国","湖北省","武汉市","","2408:844f:1746:bf16:50ab:d2ff:fe85:fb5c","Mozilla/5.0 (Linux; Android 14; ELI-AN00 Build/HONORELI-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.0.95_7368_YYB_D QQ/9.0.95.19320 NetType/4G WebP/0.3.0 AppI","",
"16","18-Dec-2024 19:04:25","18-Dec-2024 19:05:43","78","A.男","B.18-24岁","A.学生","C.大二","4","4","4","4","3","A. 能够很好地捕捉到","","D. 比较满意","3","4","4","4","4","","B.网购（如淘宝、京东）","","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","A.从不","D.频繁","C.有时","D.频繁","D.频繁","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","简体中文","未清洗","","中国","北京市","北京市","","2402:f000:3:2801:d5f5:a4dc:f577:ef07","Mozilla/5.0 (Linux; Android 14; REP-AN00 Build/HONORREP-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300149 MMWEBSDK/20241103 MMWEBID/349 MicroMessenger/8.0.54.2760(0x28003653) WeChat/arm64 ","",
"15","18-Dec-2024 18:34:52","18-Dec-2024 18:36:33","101","A.男","B.18-24岁","A.学生","B.大一","4","3","1","3","3","A. 能够很好地捕捉到","","C. 一般","4","4","1","4","4","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","","","","D.频繁","D.频繁","A.从不","B.很少","D.频繁","B.30分钟-1小时","A.少于30分钟","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","简体中文","未清洗","","中国","河南省","郑州市","","2409:894a:589:360:7464:e7ff:fe5c:ab94","Mozilla/5.0 (Linux; Android 14; 23117RK66C Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/118.0.0.0 Mobile Safari/537.36 V1_AND_SQ_9.1.20_8198_YYB_D QQ/9.1.20.21395 NetType/4G WebP/0.4.1 AppId/537257419 Pixel/1080 Sta","",
"14","18-Dec-2024 18:34:21","18-Dec-2024 18:36:04","103","A.男","B.18-24岁","A.学生","B.大一","4","2","3","3","4","B. 一般","","D. 比较满意","4","2","4","3","4","A.浏览短视频（如抖音、快手）","","C.学习或获取专业知识（如小红书、知乎）","","","","D.频繁","B.很少","B.很少","C.有时","D.频繁","D.超过2小时","A.少于30分钟","A.少于30分钟","C.1-2小时","D.超过2小时","简体中文","未清洗","","中国","北京市","北京市","","2409:8900:7be7:919b:8c3a:ffff:fe43:1d2f","Mozilla/5.0 (Linux; Android 14; 23127PN0CC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300149 MMWEBSDK/20241103 MMWEBID/931 MicroMessenger/8.0.54.2760(0x28003653) WeChat/ar","",
"13","18-Dec-2024 18:23:41","18-Dec-2024 18:24:34","53","B.女","B.18-24岁","A.学生","B.大一","4","4","4","4","4","A. 能够很好地捕捉到","","D. 比较满意","4","4","4","4","4","","B.网购（如淘宝、京东）","","","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","C.有时","C.有时","C.有时","B.30分钟-1小时","A.少于30分钟","A.少于30分钟","A.少于30分钟","B.30分钟-1小时","简体中文","未清洗","","中国","","","","240c:c603:2000:9a59:6c0e:decf:e55d:e3a6","Mozilla/5.0 (Linux; Android 14; V2364A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.1.25_8368_YYB_D QQ/9.1.25.21820 NetType/WIFI WebP/0.3.0 Ap","",
"12","18-Dec-2024 18:18:42","18-Dec-2024 18:20:01","79","A.男","B.18-24岁","A.学生","B.大一","4","4","4","4","4","B. 一般","","D. 比较满意","4","4","4","4","4","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","C.学习或获取专业知识（如小红书、知乎）","D.获取新闻/资讯（如今日头条、微博）","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","C.有时","D.频繁","D.频繁","C.1-2小时","B.30分钟-1小时","A.少于30分钟","D.超过2小时","C.1-2小时","简体中文","未清洗","","中国","陕西省","西安市","","2409:8970:3aa:2d07:3474:48ff:feb2:2afc","Mozilla/5.0 (Linux; Android 14; 23127PN0CC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.1.25_8368_YYB_D QQ/9.1.25.21820 NetType/4G WebP/0.3.0 ","",
"11","18-Dec-2024 18:17:13","18-Dec-2024 18:17:53","40","A.男","B.18-24岁","A.学生","C.大二","3","3","3","3","3","B. 一般","","C. 一般","3","3","3","3","3","","","","","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","C.有时","C.有时","C.有时","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","A.少于30分钟","简体中文","未清洗","","中国","浙江省","杭州市","","2409:8929:968:4309:68ae:9eff:fef4:ebef","Mozilla/5.0 (Linux; Android 14; V2301A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.0.90_7218_YYB_D QQ/9.0.90.18945 NetType/4G WebP/0.3.0 AppI","",
"10","18-Dec-2024 18:16:42","18-Dec-2024 18:17:27","45","A.男","B.18-24岁","A.学生","B.大一","4","3","4","3","4","B. 一般","","B. 不太满意","4","4","2","4","3","A.浏览短视频（如抖音、快手）","B.网购（如淘宝、京东）","","","","","E.非常频繁","E.非常频繁","B.很少","E.非常频繁","D.频繁","A.少于30分钟","A.少于30分钟","C.1-2小时","C.1-2小时","B.30分钟-1小时","简体中文","未清洗","","中国","","","","2409:8963:e2b:221b:1812:1801:4b94:4a8e","Mozilla/5.0 (Linux; Android 14; V2339A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/121.0.6167.71 MQQBrowser/6.2 TBS/047205 Mobile Safari/537.36 V1_AND_SQ_9.1.10_7858_YYB_D QQ/9.1.10.20545 NetType/4G WebP/0.3.0 AppI","",
"9","18-Dec-2024 18:15:37","18-Dec-2024 18:16:08","31","A.男","D.35-44岁","A.学生","E.大四","5","5","5","5","5","A. 能够很好地捕捉到","","C. 一般","5","5","5","5","5","","","C.学习或获取专业知识（如小红书、知乎）","","E.搜索音乐或影视作品（如网易云音乐、B站）","","C.有时","C.有时","C.有时","C.有时","C.有时","B.30分钟-1小时","B.30分钟-1小时","B.30分钟-1小时","D.超过2小时","B.30分钟-1小时","简体中文","未清洗","","中国","","","","2409:8962:fbd:45fa:9dbe:3bc7:fd5:d05b","Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 QQ/9.1.20.608 V1_IPH_SQ_9.1.20_1_APP_A Pixel/1179 MiniAppEnable SimpleUISwitch/0 StudyMode/0 CurrentMode/0 CurrentFontScale/1.117647 QQTheme/11","",
